Track,Artist,Spotify Streams,Spotify Popularity,Spotify Playlist Count,TikTok Posts,TikTok Likes,TikTok Views,Track Score,All Time Rank
Italodisco,The Kolors,142141861,67.0,22711,946028,19085610,403681891,55.4,762
Perfect Night,LE SSERAFIM,279667395,78.0,23583,316771,152082704,1178951518,55.4,763
Vida de Rico,Camilo,568823269,64.0,54968,1913634,77602054,835046287,55.4,767
Frï¿½ï¿½gil (feat. Grupo Front,Yahritza Y Su Esencia,432988420,67.0,32294,633280,45475847,750998497,55.4,765
In My Feelings,Drake,1389607643,68.0,179820,294022,46457728,521014819,55.4,766
Attention,Charlie Puth,1800254516,75.0,162682,391214,96491219,759021013,55.3,768
Let Me Down Slowly,Alec Benjamin,1709991997,80.0,187053,2026064,188810282,2833687729,55.3,769
In The End,Tommee Profitt,85068645,52.0,23747,7610004,421716078,6274917849,55.2,771
Took Her To The O,King Von,497832707,74.0,156669,171287,89782204,644816718,55.1,772
Boyfriend,Dove Cameron,637836235,68.0,96878,488047,311431134,1955825500,55.1,774
Orquestra Maldita,TRASHXRL,119445482,14.0,16844,2337660,235664103,3177714575,55.1,773
Sucker,Jonas Brothers,1411856834,73.0,128280,328479,33317769,280853608,55.0,775
Alone,Marshmello,561103984,65.0,80971,524156,50668664,462245126,55.0,776
Pareja Del Aï¿½,Sebastian Yatra,817933263,70.0,104636,877700,82923244,870762842,54.9,779
PAINTING PICTURES,Superstar Pride,193109326,8.0,76047,238183,174951046,1526856459,54.9,777
GOOBA,6ix9ine,472027271,2.0,97766,2295814,448572991,4846286370,54.8,780
THE DINER,Billie Eilish,66101468,84.0,3693,180,1800000,11200000,54.7,790
Light Switch,Charlie Puth,593554969,67.0,84288,506518,475880505,4729678365,54.7,782
On Me,Lil Baby,368017246,67.0,105732,163221,22024839,198936453,54.7,788
when the party's over,Billie Eilish,1845938685,79.0,186633,1622629,210787744,1349258289,54.7,787
Love The Way You Lie,Eminem,1532052160,79.0,236943,208118,23435916,223136013,54.7,784
Party,Bad Bunny,725076772,72.0,83311,705800,287983296,3014389754,54.7,789
Freaks,Surf Curse,1089328286,77.0,200016,511,265535,2110692,54.6,791
In Da Getto,J Balvin,484375103,61.0,133279,1920220,452069335,6219918723,54.6,792
Chale,Eden Muï¿½ï,414104069,67.0,33044,968864,248485504,2953043191,54.5,794
Tarot,Bad Bunny,742515730,73.0,93128,940020,241093278,2486183983,54.3,796
Mas Existe um Lugar,Kaio Viana,24963236,48.0,5624,3177849,39336848,670846125,54.3,795
Petit gï¿½ï¿,Jungeli,159181956,74.0,29011,12100,2709265,37717213,54.3,797
ýýý,Ado,114381380,67.0,15725,286300,41518862,613717046,54.2,800
Work,Rihanna,1399521364,73.0,144823,3515,6820574,36448419,54.2,799
Normal,Feid,724772954,76.0,76821,86775,25803660,237386912,54.1,804
Sum 2 Prove,Lil Baby,444934033,66.0,141088,191154,26909802,238372502,54.0,807
Lottery (Renegade),K CAMP,173526912,46.0,28272,13802112,663362447,6653535769,54.0,808
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,1382191196,66.0,119969,624291,24379364,260253261,54.0,805
Good Days,SZA,1105805922,77.0,164541,534634,157378144,920329965,54.0,806
Leave Before You Love Me (with Jonas Brothers),Marshmello,844630935,74.0,94185,71293,17326017,182430905,53.9,810
Youngblood,5 Seconds of Summer,1790579305,76.0,180069,226361,15100678,81167209,53.9,811
Sweater Weather,The Neighbourhood,2916412507,85.0,415650,1248637,324536571,2911383718,53.9,809
Merayu Tuhan,Tri Suaka,8517888,43.0,506,2200000,17612619,540360680,53.8,813
Can We Kiss Forever?,Kina,634493511,66.0,89559,11714753,557393131,6459413096,53.7,815
Felices los 4,Maluma,932817713,68.0,73487,206344,18309676,177718441,53.7,814
Relaciï¿½,Sech,468900803,60.0,62750,2205109,110809435,1052766873,53.6,821
ELOVRGA,Alex Favela,333899135,75.0,24862,152867,82946328,704890346,53.6,819
Party Girl,StaySolidRocky,730440576,67.0,115574,6782670,391923611,3194124847,53.6,816
Agua (with J Balvin),Tainy,391856304,58.0,68311,2490398,109826716,1423789944,53.5,822
Human,Rag'n'Bone Man,1013083048,74.0,170367,265475,90999656,1070508080,53.4,824
snowfall,ýýneheart,652949750,79.0,72344,3889444,1232791337,10888392002,53.3,828
La_Original.mp3,Emilia,184441175,73.0,17845,193100,40676589,529217516,53.3,829
Pagodï¿½ï¿½o do Birimbola (Tchubirabi,Os Quebradeiras,54513960,52.0,13089,4650900,503245598,6429494637,53.3,830
Ice Cream (with Selena Gomez),BLACKPINK,574505748,58.0,47463,2161485,204760050,1928057718,53.3,826
MIDDLE CHILD,J. Cole,1285518117,74.0,221749,24013,9483657,72297780,53.1,836
TO THE MOON,JNR CHOI,274647899,60.0,96137,1905324,583572613,7062611890,53.1,834
Fancy Like,Walker Hayes,328697441,66.0,56746,796309,174360135,2074178281,53.1,835
The Color Violet,Tory Lanez,806918358,79.0,152298,40106,22514603,251896836,53.1,833
S91,KAROL G,240161044,64.0,22270,503900,16972968,257922639,53.0,840
LALISA,LISA,502655066,73.0,33286,909216,188844723,1612602199,53.0,839
Levitating,Dua Lipa,946842175,73.0,145601,1493355,552112407,4779580212,52.9,841
RUBICON,Peso Pluma,246224964,73.0,23436,559400,20923219,278318607,52.9,844
Gimme Love,Sia,105947434,6.0,11648,688,463074,12855128,52.9,843
Demons,Imagine Dragons,2270796677,80.0,263640,261866,25465591,296361891,52.8,847
Supalonely,BENEE,738407486,62.0,111662,4814901,442756956,3587729796,52.8,845
Lean On (feat. Mï¿½ï¿½ & DJ Sn,Major Lazer,2080878370,76.0,242511,270919,33270068,289518843,52.8,846
Spin Bout U,Drake,356685934,71.0,88034,76706,32337952,229937284,52.6,856
From The Start,Laufey,368256958,73.0,53922,224617,128900059,772554264,52.6,855
ZOOM,Jessi,166161044,61.0,22288,3903605,865870535,9393168416,52.6,850
Can't Feel My Face,The Weeknd,1747534539,76.0,212829,552005,26588465,264572676,52.6,851
Sexy And I Know It,LMFAO,436722440,62.0,107912,652850,62596716,927660445,52.6,853
WHATS POPPIN,Jack Harlow,819779577,70.0,161131,748490,210602527,2078817404,52.6,854
POR EL CONTRARIO,Becky G,131938548,75.0,5913,836833,46373944,589093596,52.5,857
Rara Vez,Taiu,544165928,77.0,58646,302386,150768049,1522432243,52.4,860
That That (prod. & feat. SUGA of BTS),PSY,269491606,66.0,26075,304900,324925866,2432918911,52.4,858
THE LONELIEST,Mï¿½ï¿½ne,330593989,67.0,54823,296115,22320319,270169817,52.2,865
Nunca Es Suficiente,Los ï¿½ï¿½ngeles Az,478494818,67.0,53736,43294,16884958,145723405,52.2,863
Copines,Aya Nakamura,381322519,67.0,70125,9295551,769130337,8503116899,52.1,867
Thank God,Kane Brown,157341967,67.0,20612,213898,11321551,123462516,52.1,866
TQM,Fuerza Regida,497682165,70.0,40368,236300,73808507,824220151,51.8,869
Lily,Alan Walker,403860053,66.0,45516,7210674,89296676,1297576376,51.8,870
Massive,Drake,253114498,65.0,111173,188128,77604432,887138394,51.7,873
a lot,21 Savage,949835159,73.0,219301,55114,16502363,131214658,51.7,872
Adicto (with Anuel AA & Ozuna),Tainy,711861577,69.0,84611,611826,17295595,185706534,51.7,871
Look What You Made Me Do,Taylor Swift,1152346128,75.0,93178,178524,67907529,563244716,51.6,876
Young Dumb & Broke,Khalid,1527159800,76.0,187813,194595,27581217,216666194,51.4,881
In A Minute,Lil Baby,171118535,57.0,81407,75540,21092926,191118526,51.4,879
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,1549317525,73.0,178149,89958,59135602,426511103,51.4,884
Jerusalema (feat. Nomcebo Zikode),Master KG,406132477,66.0,110858,790561,54406926,849243924,51.3,885
Funk do Patinho,Bento e Totï¿,16197748,55.0,1827,31500,2460399,40465134,51.2,887
El Amor de Mi Vida,Los ï¿½ï¿½ngeles Az,130709283,64.0,12585,682,462948,3169042,51.2,886
Blueberry Faygo,Lil Mosey,1295251940,67.0,197036,1099556,147484414,1065757953,51.2,889
Jiggle Jiggle,Duke & Jones,121214716,56.0,37436,4762920,1378075519,14693507776,51.2,891
En la Intimidad,Big One,210712407,65.0,24033,575300,54956649,793158034,51.2,890
Counting Stars,OneRepublic,2466006842,81.0,343135,382991,125290160,1245061983,51.1,892
Essence (feat. Tems),Wizkid,242254880,66.0,85783,280027,66345848,617402549,51.0,893
Get Into It (Yuh),Doja Cat,603196133,68.0,97704,1300477,823930204,7709942104,51.0,895
RAVE,Dxrk ï¿½ï¿½ï¿½,415552038,71.0,104372,814700,474655469,5435575162,51.0,894
No Me Conoce,Jhay Cortez,49585127,47.0,9710,12412,1911710,20432637,51.0,896
TOPIA TWINS,Travis Scott,196369387,74.0,70723,47600,23423522,141407787,50.9,898
Janze,Xamdam Sobirov,344691,30.0,77,154161,4397504,144597808,50.9,899
"O Saki Saki (From ""Batla House"")",Neha Kakkar,144985656,57.0,15143,3112998,41878672,462897728,50.9,897
Always Remember Us This Way,Lady Gaga,1269760706,76.0,137601,1213771,33512447,573562180,50.9,901
Aku Sayang Tapi Kau Tak Paham,DJ Boneng,716453,1.0,22,1800000,2635212,100001777,50.8,902
Thought You Should Know,Morgan Wallen,340227841,73.0,40523,16626,4371872,28018314,50.7,906
CAIRO,KAROL G,443093379,72.0,35995,625126,42735677,600184949,50.7,904
Cupido,TINI,358240136,70.0,35751,827378,189261300,2253379250,50.7,905
Out thï¿½ï¿½,Yeat,338097605,73.0,85480,47215,15066093,117839587,50.6,907
Sobrio,Maluma,600199930,64.0,66655,189200,19480120,254681143,50.6,908
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,247682011,72.0,67166,13500,6210382,38882669,50.5,913
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1244981489,78.0,295646,106923,60624218,650317525,50.5,916
Se Acabï¿½ï¿½ la Cuaren,Jowell & Randy,73468394,51.0,23284,10152900,212959708,2985601079,50.5,915
Look Back At It,A Boogie Wit da Hoodie,769061748,73.0,136145,202814,33604598,250645860,50.5,912
End of Beginning,Djo,710784872,90.0,64517,129300,118218973,1027806256,50.5,918
K-POP,Travis Scott,285481590,68.0,62715,4427,3170160,129035232,50.5,917
Tattoo,Rauw Alejandro,341742937,58.0,53836,2132748,73202309,650666266,50.4,922
Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),Shakira,829352129,61.0,159324,2250587,417038157,5938511405,50.4,921
no tears left to cry,Ariana Grande,1331371819,71.0,100503,698131,30791124,219920452,50.2,923
Upside Down,JVKE,121391098,54.0,28044,10318700,164374946,1710758827,50.1,925
Nosso Quadro,AgroPlay,423018422,63.0,23872,288613,21077364,277692228,50.1,926
Genda Phool (feat. Payal Dev),Badshah,86295058,55.0,7591,5444473,128000154,1953198700,50.0,930
Pure Cocaine,Lil Baby,652559944,74.0,170734,13434,7576223,62837382,50.0,928
Pretty Little Poison,Warren Zeiders,142512477,72.0,23828,100195,10946988,109014578,49.9,932
Corazï¿½ï¿½n Roto - R,Brray,203212015,67.0,36459,827700,24190123,359964365,49.9,931
Summer,Calvin Harris,1497564072,81.0,255037,1293032,116032171,1214191679,49.8,935
Murder On My Mind,YNW Melly,1055558326,72.0,208777,251510,44341738,350694950,49.8,934
You Are The Reason,Calum Scott,1042531612,73.0,119883,1513635,180692022,1930209423,49.8,937
Bad Liar,Imagine Dragons,1056929910,74.0,134812,1429594,181729752,2058078137,49.8,938
ROXANNE,Arizona Zervas,1474968552,68.0,170595,1513097,565840941,4972391653,49.7,939
Softly,Karan Aujla,150073848,71.0,12340,70200,8387797,169068391,49.6,941
Tacones Rojos,Sebastian Yatra,641756842,68.0,80542,328394,77295943,855230861,49.6,940
family ties,Baby Keem,786298066,77.0,204148,55168,80647899,532021210,49.5,945
Whatever It Takes,Imagine Dragons,1257258072,76.0,156442,202700,27054065,340416328,49.5,944
POP!,NAYEON,296828933,69.0,25748,1937239,548973446,5178604164,49.4,946
Lonely At The Top,Asake,84655991,69.0,13107,1513241,16795588,382487197,49.4,947
ecstacy (slowed),SUICIDAL-IDOL,242661037,74.0,43999,499500,69556599,646143014,49.3,949
Si Se Da,Myke Towers,317223968,54.0,47247,15153,1209967,14034398,49.3,952
Holy (feat. Chance The Rapper),Justin Bieber,787546548,63.0,110389,193594,69149295,561056269,49.3,950
No Role Modelz,J. Cole,2235160830,81.0,403355,744556,138864977,885273359,49.3,955
Symphony (feat. Zara Larsson),Clean Bandit,1456894713,71.0,141677,707674,33256295,386013926,49.3,954
Rain On Me (with Ariana Grande),Lady Gaga,1060378159,68.0,104647,442243,80912710,538854965,49.3,951
10:35,Tiï¿½ï¿,539802784,74.0,82093,11473,5762615,119710596,49.2,958
One Right Now (with The Weeknd),Post Malone,631789333,65.0,99512,30141,12902227,181078488,49.2,963
A Thousand Years,Christina Perri,1654956613,77.0,177834,4479720,848530861,8594414469,49.2,964
Secreto,Anuel AA,759388276,65.0,68502,609042,40357374,543804719,49.2,957
Toda Remix - Remix,Alex Rose,482021697,66.0,68578,696400,34322459,289741256,49.2,959
I Hate U,SZA,456871037,66.0,71261,877769,211488170,1676387442,49.2,956
Better Now,Post Malone,1953403531,74.0,239092,104133,9802093,97061584,49.2,962
Call Me Maybe,Carly Rae Jepsen,1394048309,77.0,211162,418014,40431475,367016981,49.2,960
Pobre Corazï¿½,Ke Personajes,187127704,65.0,18938,8176,2607049,30085568,49.2,965
Piece Of Your Heart,MEDUZA,995452298,65.0,188608,742947,75493341,1282810923,49.2,966
Ram Pam Pam,NATTI NATASHA,257167813,55.0,38896,1887815,202617114,2167134347,49.1,968
No Se Va,Grupo Frontera,582023797,70.0,48881,1100596,64787440,805988782,49.0,973
Aesthetic,Xilo,27312761,38.0,9048,12562825,754488882,5979843010,49.0,969
Your Love (9PM),ATB,721002104,71.0,146298,25400,5772644,81735548,48.9,976
One Side,Iyanya,23823099,53.0,10859,4024066,59428340,1004679876,48.9,977
Photograph,Ed Sheeran,2525355904,77.0,208671,1459274,502385405,4406781129,48.8,980
"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofï¿½ï¿½a R,667508675,61.0,78737,7162351,628778954,8778203835,48.7,983
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,1020452066,79.0,108274,228100,129184868,1013000586,48.6,986
Wants and Needs (feat. Lil Baby),Drake,793287638,71.0,225513,36542,45722496,319496635,48.6,985
Jiwa Yang Bersedih,Ghea Indrawari,229120157,69.0,11931,1589944,378055132,5604886674,48.4,987
Coco Chanel,Eladio Carrion,459282058,72.0,67717,49000,17997404,147682062,48.4,988
At My Worst,Pink Sweat$,670245273,64.0,83819,3893052,155783189,1736930175,48.3,991
Go Down Deh (feat. Shaggy and Sean Paul),Spice,218431985,61.0,56998,3595260,338445934,4731467896,48.2,993
El Caballito,FARIANA,184278,42.0,74,63000,14587439,205181975,48.2,994
Tomorrow 2 (with Cardi B),GloRilla,157806193,64.0,27840,264839,77376260,507673872,48.1,996
Se Preparï¿,Ozuna,846909112,73.0,81897,357129,31889859,259122341,48.1,997
Lost on You,LP,837042727,70.0,127522,87300,31874280,239446479,48.1,998
Leï¿½,Marï¿½ï¿½lia Mendo,415752953,66.0,20588,318300,58453253,754580262,48.0,999
Lean Wit Me,Juice WRLD,880781313,72.0,137341,28508,3880481,33981823,47.9,1001
HOTEL LOBBY (Unc & Phew),Quavo,399707517,69.0,131547,1332,101238,1130861,47.9,1002
April Rain in August Weather,Baba Blakes,408449,12.0,38,23,20,385,47.9,1004
Panini,Lil Nas X,741766886,62.0,96241,334492,59073681,493209730,47.9,1003
She Had Me At Heads Carolina,Cole Swindell,244709550,69.0,33533,53799,11305059,140118719,47.9,1007
bad idea right?,Olivia Rodrigo,433515672,12.0,37313,236657,92857729,839351640,47.7,1012
"Ay, DiOs Mï¿½ï",KAROL G,599215039,61.0,57051,2265527,71390703,779241131,47.7,1016
happier,Olivia Rodrigo,1133535049,79.0,116055,722581,472933333,3266081830,47.7,1015
Lalala,Y2K,968133091,66.0,142494,2733359,556612849,6342877983,47.7,1010
ýýýýýýýýýýýýýýýýýýýýý,HoneyWorks,23191929,51.0,5912,3400886,499324989,6284732144,47.7,1014
Tubarï¿½ï¿½o Te,Dj LK da Escï¿½ï¿,150177750,59.0,30142,2700000,1300234701,15253039012,47.7,1013
Chichiquetere,HCTM,1858478,28.0,581,5101153,88338099,1420793896,47.6,1017
Monkeys Spinning Monkeys,Kevin MacLeod,11477477,36.0,7679,31963934,23474223833,233232311463,47.6,1018
One Kiss (with Dua Lipa),Calvin Harris,2178606166,79.0,291456,1932873,174361744,1597020461,47.5,1024
Mmhmm,BigXthaPlug,155648648,82.0,28131,44222,881868,7609548,47.5,1020
BOP,DaBaby,820923123,68.0,158363,74988,16461096,129969428,47.5,1021
Titanium (feat. Sia),Sia,1634403761,74.0,244291,223184,49312980,510515661,47.4,1031
Kahani Suno 2.0,Kaifi Khalil,296648613,68.0,21479,1200000,27052606,410960127,47.4,1027
No_se_ve.mp3,Emilia,218340846,64.0,30667,225600,67337219,876147905,47.4,1025
Arcade,Duncan Laurence,1184536529,69.0,199838,1458534,698504294,6956515458,47.4,1029
How Deep Is Your Love,Calvin Harris,1156342373,78.0,168603,527189,148496036,982629718,47.4,1026
BUTTERFLY EFFECT,Travis Scott,1388024799,79.0,219410,103265,22575146,236970860,47.4,1028
Let You Down,NF,1472430869,73.0,187536,754672,35519027,270757450,47.2,1034
Bad Memories (feat. Elley Duhï¿½ï¿½ & FAST ,MEDUZA,460973352,69.0,87026,46341,11711694,202563112,47.2,1035
Yo Perreo Sola,Bad Bunny,745086450,67.0,95154,1515908,126702212,1133216780,47.1,1036
ETA,NewJeans,234215735,74.0,20419,98128,38199952,297802502,47.1,1038
Jordan,Ryan Castro,535847791,73.0,57454,2054500,440899222,5134093462,47.1,1037
Take You Dancing,Jason Derulo,716319941,65.0,98905,522107,149900995,1506051452,47.1,1039
Be Alright,Dean Lewis,1749353402,72.0,182732,191718,48497239,379547638,47.0,1042
Jalebi Baby,Tesher,164137928,58.0,47324,3568275,609856643,8443743856,47.0,1041
Endless Summer,Alan Walker,28340672,55.0,7147,2207992,16323044,395590915,47.0,1040
Belly Dancer,Imanbek,547114702,75.0,110008,81866,45025550,367187204,46.9,1047
Who Told You (feat. Drake),J Hus,142574143,62.0,72496,80897,28314723,264112132,46.9,1046
NIGHT DANCER,imase,239149370,67.0,46984,1132387,226568824,2285171989,46.9,1045
DON'T YOU WORRY,Black Eyed Peas,302939117,62.0,48916,86202,6704531,74013480,46.9,1044
MIDDLE OF THE NIGHT,Elley Duhï¿,1104008150,72.0,173612,612500,304312367,2922804533,46.8,1054
Volando (Remix),Mora,701919939,68.0,105247,26200,9024221,74137126,46.8,1052
Moth To A Flame (with The Weeknd),Swedish House Mafia,861100951,74.0,153435,35151,18345722,184453448,46.8,1056
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Ana Castela,210195998,65.0,10723,33900,3996634,55226429,46.8,1051
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,871780891,68.0,56085,137939,12865488,121241311,46.6,1061
Diamonds,Rihanna,1419912461,70.0,180128,12421,899775,6890158,46.5,1063
Fuera del mercado,Danny Ocean,535013440,71.0,57772,2681307,387587032,4479627831,46.5,1064
El Cielo,Sky Rompiendo,354097795,74.0,53606,26367,10289035,107126101,46.4,1068
Me Fui de Vacaciones,Bad Bunny,366872354,68.0,61014,2232600,180281548,1794129686,46.4,1067
Talk (feat. Disclosure),Khalid,968194426,64.0,121168,622138,22886397,175481915,46.4,1065
Reloj,Rauw Alejandro,579749218,65.0,90725,1567493,149903879,1294351127,46.2,1072
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,233139871,63.0,77694,98082,15980144,111422826,46.1,1075
Sorry 4 The Wait,Lil Wayne,24285898,54.0,8422,917,97854,1029336,46.0,1079
DILUVIO,Rauw Alejandro,310562790,79.0,33458,148600,42427834,372688472,46.0,1078
ZEZE (feat. Travis Scott & Offset),Kodak Black,1070685587,71.0,203323,1386205,55794187,463776007,46.0,1080
Peaches,Jack Black,144252786,64.0,35929,822942,255693787,3002241315,46.0,1077
Take My Breath - Single Version,The Weeknd,465348362,57.0,89586,42395,17828688,224955330,45.9,1085
Lavender Haze,Taylor Swift,711138043,73.0,42535,90029,35207211,302181012,45.9,1090
KU LO SA - A COLORS SHOW,Oxlade,331419634,68.0,92569,582831,42516541,534189550,45.9,1089
Toca o Trompete,Felipe Amorim,166784328,66.0,15122,482200,79195177,1222155154,45.9,1087
Nobody Gets Me,SZA,561645790,82.0,58561,61070,32412474,220878489,45.9,1091
Glock In My Lap,21 Savage,614603953,78.0,164722,45186,22453063,162296330,45.9,1088
CORAZï¿½ï¿½N VA,Maria Becerra,251442618,71.0,19913,249263,61634866,541965678,45.8,1094
PUNTO G,Quevedo,600073400,71.0,73593,181760,42088473,450971538,45.8,1096
"Muqabla (From ""Street Dancer 3D"")",Yash Narvekar,102668822,58.0,8999,4369880,26463521,557936748,45.8,1093
Ditto,NewJeans,614497357,74.0,47586,396808,179997019,1587051148,45.7,1098
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,912709169,67.0,94302,75146,30651870,303742856,45.4,1104
BABY HELLO,Rauw Alejandro,268383799,68.0,47936,23400,9362518,103169265,45.3,1105
2/Catorce,Rauw Alejandro,534981600,64.0,92466,833539,233010597,2285726710,45.2,1107
Ride,Twenty One Pilots,1724766252,79.0,240346,473867,64556528,515516585,45.2,1110
Dusk Till Dawn (feat. Sia),ZAYN,7660758,36.0,2412,1352318,224835071,2577621675,45.2,1108
Rush,Troye Sivan,299291405,28.0,45754,37300,31430262,341762321,45.2,1109
Physical,Dua Lipa,967029446,71.0,108666,159047,39077139,430832681,45.1,1115
Pumped Up Kicks,Foster The People,1791778314,81.0,344490,786192,342804034,2757623631,45.1,1113
Yes Indeed,Lil Baby,1110994645,74.0,186456,38775,25188899,194904663,45.1,1112
Open Arms (feat. Travis Scott),SZA,418181065,76.0,67858,79800,21397764,155757311,45.1,1114
edamame (feat. Rich Brian),bbno$,460770585,9.0,137449,697200,509554628,5783885492,45.0,1117
Turn Down for What,DJ Snake,547207250,65.0,103666,962796,124466320,1943093911,45.0,1116
Smokin Out The Window,Bruno Mars,463977298,66.0,100305,946,4609516,26701713,44.9,1121
From The D To The A (feat. Lil Yachty),Tee Grizzley,364325529,64.0,83638,42311,2417700,16341869,44.8,1122
Me Rehï¿½ï,Danny Ocean,1778934858,74.0,37040,261323,17109874,158762431,44.8,1126
Nonsense,Sabrina Carpenter,817286460,83.0,55620,179864,36883907,357890160,44.8,1129
Run It Up (feat. Offset & Moneybagg Yo),Lil Tjay,392745531,67.0,141221,44979,17567842,137477748,44.8,1127
Lose You To Love Me,Selena Gomez,1222228366,72.0,109325,210846,55268559,519924812,44.8,1123
Worth It,YK Osiris,340112388,60.0,66487,576099,18279931,132694197,44.8,1125
Fight The Feeling,Rod Wave,86327319,51.0,18112,179400,15991452,137960911,44.8,1128
Robbery,Juice WRLD,1306374052,73.0,213493,287303,40611392,281781468,44.7,1131
Bebe Dame,Fuerza Regida,562099076,70.0,51229,623600,146379790,1746059702,44.7,1132
Green Green Grass,George Ezra,300430813,69.0,50552,1664351,248347598,3375488113,44.7,1133
Fiel,Los Legendarios,642558596,64.0,106151,1884605,309769907,2853555921,44.7,1130
Neverita,Bad Bunny,831868563,73.0,93211,115200,87502749,985066343,44.6,1139
2002 - Remix,Shaun Reynolds,303962,8.0,88,16501062,9430921,137616390,44.6,1136
Infinity,Jaymes Young,1059940209,74.0,169454,5441674,1889279204,22241102823,44.6,1138
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Weeknd,812954133,81.0,137681,564129,71837599,797041217,44.5,1142
adore u,Fred again..,129427492,71.0,44672,29740,8528307,135983684,44.5,1141
Numb Little Bug,Em Beihold,360584207,66.0,68868,177123,69378146,667895022,44.5,1143
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,822696809,68.0,141261,806169,35719393,404031807,44.4,1144
Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,222879686,68.0,26854,80100,22478680,315723211,44.4,1145
Suicidal,YNW Melly,572441305,67.0,113061,4475534,218106950,1659032393,44.4,1146
"Photo (From ""Luka Chuppi"")",Karan Sehmbi,72849488,54.0,9804,11600000,10188221,246534268,44.3,1149
Sky,Playboi Carti,710319373,74.0,209136,154135,62458934,363975031,44.3,1147
Payphone,Maroon 5,1828026153,78.0,249663,93015,49072987,397860038,44.2,1153
I Like Me Better,Lauv,1784308411,75.0,157818,573681,117065490,886160801,44.2,1152
RUNAWAY,OneRepublic,127466467,67.0,16650,2331,518049,9346042,44.2,1154
On My Love,Zara Larsson,128024416,7.0,20826,3966,507857,8090936,44.1,1159
Mujeriego,Ryan Castro,285723562,63.0,63343,1645802,630242190,6484877304,44.1,1158
Miss The Rage (feat. Playboi Carti),Trippie Redd,535695469,6.0,188778,155446,113564973,1011224005,44.1,1160
Legends,Juice WRLD,681282854,63.0,118639,36108,21004398,157362351,44.0,1166
Black Beatles,Rae Sremmurd,972005229,69.0,186174,80426,32338631,184153973,44.0,1164
King Size,Roddy Ricch,3248779,33.0,3105,113,7218,297262,44.0,1163
Girls Want Girls (with Lil Baby),Drake,459480135,68.0,137691,97707,54238635,550340528,43.9,1168
Linger - SiriusXM Session,Royel Otis,8053814,69.0,908,74700,46235180,345797900,43.9,1171
SLOW DANCING IN THE DARK,Joji,1291244134,29.0,241882,976742,252216973,1853292133,43.9,1167
Addicted,Zerb,63142772,79.0,7213,7812,3088170,63352002,43.9,1170
Besos Moja2,Wisin & Yandel,416361102,69.0,48450,460773,158067701,1931498021,43.8,1176
Wake Up in the Sky,Gucci Mane,996942947,71.0,188378,517615,50143641,424030507,43.8,1173
Chanel,Becky G,287853890,65.0,21244,98312,44289816,550080768,43.8,1175
Otro Trago,Sech,693061510,63.0,73605,263379,6844512,81046643,43.8,1172
Back In Blood (feat. Lil Durk),Pooh Shiesty,378239461,62.0,126894,95993,30522237,230352883,43.7,1180
Jugaste y Sufrï¿,Eslabon Armado,492509763,70.0,83013,144000,92852948,624633508,43.7,1182
Religiously,Bailey Zimmerman,225556005,73.0,25164,73524,5688685,56949752,43.7,1178
What Happened To Virgil (feat. Gunna),Lil Durk,144889291,59.0,63045,96486,68284710,515213856,43.7,1179
Hello,Adele,1550553401,68.0,140637,209908,68479244,707793848,43.6,1186
HAY LUPITA,Lomiiel,22692011,71.0,1996,6538,9803472,84927420,43.6,1187
Gatita,Bellakath,218661601,57.0,25714,1961387,191009331,2353588008,43.6,1184
World on Fire,Nate Smith,100360956,69.0,15383,45372,6096788,57109846,43.6,1183
Love You Anyway,Luke Combs,164507374,67.0,29896,127315,21357285,220946119,43.6,1185
MOJABI GHOST,Tainy,368429447,75.0,46625,3207,955307,6911099,43.5,1188
N95,Kendrick Lamar,426936498,74.0,118020,34724,16024927,186922543,43.4,1194
Earned It (Fifty Shades Of Grey),The Weeknd,1667089416,69.0,97707,331766,121101434,1048617583,43.4,1195
Gucci Gang,Lil Pump,648757330,55.0,66961,1404568,27119678,243585831,43.4,1189
La Bebe,Yng Lvcas,255707376,64.0,35404,3955024,237343814,3229349729,43.3,1198
Jaded,Miley Cyrus,173349210,65.0,22117,12719,7349390,120314198,43.3,1197
Bye,Peso Pluma,252239644,65.0,24974,408410,96001756,1121997176,43.3,1196
L$d,Luclover,34621941,36.0,15846,5003856,589943665,5720070197,43.3,1199
Wolves,Selena Gomez,1358424406,71.0,123735,961584,29990673,253791542,43.3,1200
Scars To Your Beautiful,Alessia Cara,1422563654,71.0,129568,4732710,104484107,736544909,43.2,1201
